track,2014,2015,2016,2017,2018 Jan-Oct
K12,25,61,42,44,53
Vocational Edu.,22,19,41,39,62
Language Learning,24,26,32,30,54
Enrichment Programs,7,27,22,41,56
Early Childhood Edu.,12,36,26,35,45
SaaS & Informatization,5,8,19,25,36
STEM,5,5,9,21,66
Study Abroad Services,5,10,14,15,16
Higher Edu.,3,16,12,6,1
Paid Knowledge,1,2,10,11,13
Others,3,10,2,1,15
